Date,Latitude,Longitude,WS2M,WD2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
20150910,-108.52056,37.5825,1.21,0.5,19.18,29.11,10.7,-2.9,26.05,79.88,23.3,25.69,2.14,1
20130703,-107.99972,37.45,2.03,5.9,19.67,28.78,9.85,1.69,38.59,73.91,26.78,28.75,8.48,1
19870929,-107.26778,37.46611,0.48,61.9,8.75,18.62,-0.64,-6.82,36.76,71.86,19.91,21,5.97,1
19880525,-107.53667,37.38944,0.49,239.9,9.69,16.24,4.5,-1.25,49.39,71.46,25.45,22.94,12.41,1
19850616,-108.63889,37.70944,0.92,352,24.05,31.11,15.25,3.77,29.48,79.71,29.15,22.79,13.68,1
19880505,-108.51,37.48056,2.21,183.3,12.43,19.55,4.32,-5.5,31.11,79.39,28.98,23.95,8.8,1
19990705,-107.51667,37.25667,0.32,147.8,17.6,28.21,9.39,6.5,57.71,71.86,26.6,30.39,7.83,1
20050718,-107.245,37.31833,0.52,324.7,18.14,28.08,9.62,-3.48,27.4,71.57,22.53,32.64,3.01,1
20130524,-108.21639,37.48222,2.26,215.2,11.72,20.32,3.7,-7,28.63,73.81,22.79,32.33,5.09,1
19970822,-107.35917,37.32528,0.2,345.1,14.04,21.37,7.24,6.55,65.54,72.07,27.15,17.74,17,1
20070910,-106.87778,37.46,1.05,319.7,12.49,20.63,5.57,2.09,56.15,71.9,25.89,19.1,6.6,1
20201005,-107.55301,37.41379,0.43,337.4,8.03,20.43,-1.33,-10.31,31.09,71.72,21.01,20.09,3.46,1
20200715,-108.11891,37.80195,0.95,219.5,21.25,28.16,11.95,2.45,31.38,74.21,29.81,30.51,5.37,1
19940624,-107.16583,37.47889,1.74,322,18.22,27.96,9.23,-2.21,28.88,71.79,22.87,32.05,5.19,1
20090823,-107.35472,37.26556,0.41,237.2,13.77,19.57,8.95,6.23,62.84,71.67,27.75,16.86,9.79,1
