Date,Latitude,Longitude,WS2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
19840726,-97.21479766,48.49470678465964,1.85,22.17,29.44,14.19,10.59,51.01,98.59,34.07,19.7,14.35,0
19870225,-93.23831984,27.244579153301267,3.67,22.03,22.45,21.14,21.2,94.89,101.35,-999,4.43,3.29,0
19941020,-112.0257005,44.802265903308474,0.63,0.22,7.2,-4.3,-5.49,67.84,77.07,20.13,11.25,6.07,0
20110106,-93.20356752,43.946278031654714,2,-11.36,-8.26,-14.22,-12.46,95.06,96.46,21.89,5.03,2.98,0
20040628,-73.02655674,48.05290157,0.18,10.98,15.15,4.97,8.05,83.12,96.46,27.42,21.41,10.18,0
20140822,-107.9952245,36.40020694301407,1.29,18.77,23.58,14.72,11.35,64.07,81.92,30.75,12.73,8.92,0
19940321,-74.80656593,48.22085542,0.87,-0.9,5.12,-7.4,-3.77,82.73,95.32,19.97,19.02,3.03,0
20071013,-70.65475843,40.49337102059951,6.47,13.89,16.01,12.9,8.59,70.26,101.29,28.89,15,6.5,0
20000909,-123.8385622,47.37222324196145,0.08,10.69,12.48,7.78,10.01,95.59,96.31,29.96,6.97,7.08,0
20230302,-113.447424,32.16862058025054,2.32,9.93,17.24,3.01,0.57,54.98,99.16,23.98,20.98,3.2,0
20070114,-77.34453709,39.62200949,0.91,11.48,13.76,9.19,11.29,97.8,99.82,30.29,2.96,2.7,0
20000521,-113.9554494,46.809381792075826,0.12,11.79,19.16,3.29,7.42,76.92,85.07,27.79,17.2,15.63,0
19890403,-109.535,43.01393075545075,3.47,-8.58,-4.75,-12.1,-12.91,73.12,73.82,20.96,16.35,12.68,0
20000822,-122.1029855,39.39489416397103,2.16,26.07,36.1,16.34,7.39,34.66,99.75,27.09,26.59,5.4,0
20050330,-112.908518,49.54185341045958,3.82,1.2,7.59,-3.88,-3.78,71.26,89.12,22.81,15.98,9.19,0
20200122,-92.24003694,39.16231757375877,3.71,-1.19,1.76,-4.25,-2.75,90.02,99.26,25,3.06,2.64,0
19891218,-87.42459539,39.30059894895918,1.8,-10.56,-6.45,-14.74,-13.03,84.15,100.44,17.18,8,4.18,0
20160602,-122.2116744,40.63196030801596,0.57,24.83,34.33,15.84,9.76,46.47,96.15,29.24,30.72,6.35,0
